"Date","Price","Open","High","Low","Change %"
"Dec 92","6.000","6.000","6.000","6.000","-3.44%"
"Nov 92","6.214","6.214","6.214","6.214","5.45%"
"Oct 92","5.893","5.893","5.893","5.893","10.71%"
"Sep 92","5.323","5.323","5.323","5.323","-4.57%"
"Aug 92","5.578","5.578","5.578","5.578","-4.17%"
"Jul 92","5.821","5.821","5.821","5.821","-7.29%"
"Jun 92","6.279","6.279","6.279","6.279","-4.94%"
"May 92","6.605","6.605","6.605","6.605","-4.02%"
"Apr 92","6.882","6.882","6.882","6.882","-0.65%"
"Mar 92","6.927","6.927","6.927","6.927","5.53%"
"Feb 92","6.564","6.564","6.564","6.564","2.12%"
"Jan 92","6.428","6.428","6.428","6.428","8.45%"
"Dec 91","5.927","5.927","5.927","5.927","-8.60%"
"Nov 91","6.485","6.485","6.485","6.485","-3.68%"
"Oct 91","6.733","6.733","6.733","6.733","-2.51%"
"Sep 91","6.906","6.906","6.906","6.906","-5.93%"
"Aug 91","7.341","7.341","7.341","7.341","-5.30%"
"Jul 91","7.752","7.752","7.752","7.752","-1.66%"
"Jun 91","7.883","7.883","7.883","7.883","2.36%"
"May 91","7.701","7.701","7.701","7.701","1.10%"
"Apr 91","7.617","7.617","7.617","7.617","-1.61%"
"Mar 91","7.742","7.742","7.742","7.742","0.45%"
"Feb 91","7.707","7.707","7.707","7.707","1.22%"
"Jan 91","7.614","7.614","7.614","7.614","-0.99%"
"Dec 90","7.690","7.690","7.690","7.690","-2.87%"
"Nov 90","7.917","7.917","7.917","7.917","-3.63%"
"Oct 90","8.215","8.215","8.215","8.215","-4.91%"
"Aug 90","8.639","8.639","8.639","8.639","6.51%"
"Jul 90","8.111","8.111","8.111","8.111","-2.89%"
"Jun 90","8.352","8.352","8.352","8.352","-2.48%"
"May 90","8.564","8.564","8.564","8.564","-5.34%"
"Apr 90","9.047","9.047","9.047","9.047","5.25%"
"Feb 90","8.596","8.596","8.596","8.596","3.21%"
"Jan 90","8.329","8.329","8.329","8.329","5.79%"
"Dec 89","7.873","7.873","7.873","7.873","1.81%"
"Nov 89","7.733","7.733","7.733","7.733","-1.44%"
"Oct 89","7.846","7.846","7.846","7.846","-6.04%"
"Sep 89","8.350","8.350","8.350","8.350","0.98%"
"Aug 89","8.269","8.269","8.269","8.269","9.62%"
"Jul 89","7.543","7.543","7.543","7.543","-5.96%"
"Jun 89","8.021","8.021","8.021","8.021","-7.70%"
"May 89","8.690","8.690","8.690","8.690","-3.87%"
"Apr 89","9.040","9.040","9.040","9.040","-5.04%"
"Mar 89","9.520","9.520","9.520","9.520","1.02%"
"Feb 89","9.424","9.424","9.424","9.424","3.93%"
"Jan 89","9.068","9.068","9.068","9.068","-1.27%"
"Dec 88","9.185","9.185","9.185","9.185","3.03%"
"Nov 88","8.915","8.915","8.915","8.915","6.59%"
"Oct 88","8.364","8.364","8.364","8.364","-2.83%"
"Sep 88","8.608","8.608","8.608","8.608","-3.97%"
"Aug 88","8.964","8.964","8.964","8.964","2.66%"
"Jul 88","8.732","8.732","8.732","8.732","3.78%"
"Jun 88","8.414","8.414","8.414","8.414","-4.04%"
"May 88","8.768","8.768","8.768","8.768","5.37%"
"Apr 88","8.321","8.321","8.321","8.321","3.44%"
"Mar 88","8.044","8.044","8.044","8.044","5.01%"
"Feb 88","7.660","7.660","7.660","7.660","-1.42%"
"Jan 88","7.770","7.770","7.770","7.770","-7.28%"
"Dec 87","8.380","8.380","8.380","8.380","-1.00%"
"Nov 87","8.465","8.465","8.465","8.465","2.49%"
"Oct 87","8.259","8.259","8.259","8.259","-10.54%"
"Sep 87","9.232","9.232","9.232","9.232","8.03%"
